Career,Possible Abilities,Possible Skills,Restrictions,Special,Starting Assets,Starting Connections,Starting Money
Artillerist,"Advisor, Battle Plan: Close Fire, Battle Plan: Orchestrate Fire, Bomber, Double Powder Ration, Grenadier, Hit the Deck!, Scorched Earth, Test the Wind","Craft Ordnance 4D, Command 3D, General Skills 4D, Rope Use 4D, Survival 3D; Hand Weapon 3D, Heavy Artillery 4D, Light Artillery 4D, Pistol 3D, Rifle 3D, Throwing 3D",,,Deck Gun (with powder and ten rounds),None,75
Assault Kommando,"Battle Plan: Reconnaissance, Defensive Line, Gunfighter, Load Bearing, Onslaught, Quick Work, Relentless Charge, Signal Language, Two-Weapon Fighting","Command 3D, Cryptography 2D, General Skills 4D, Interrogation 3D, Healing 3D, Survival 3D; Hand Weapon 3D, Light Artillery 3D, Rifle 4D, Shield 3D, Unarmed Combat 3D","Military Officer, Warcaster, Warcaster (Khadoran), Ranger, Rifleman, Soldier",,"Assault Kommando armour, Vislovski carbine (powder and ten rounds), assault shield, three strangle gass grenade launcher rounds",None,0
Berserker,"Blood Quenched, Berserk, Blood Thirst, Hyper Aggressive, Overtake, Relentless Charge, Savage Strike, Two-Weapon Fighting","General Skills 4D, Survival 4D; Great Weapon 4D, Hand Weapon 4D, Throwing 4D, Unarmed Combat 4D",,,Leather Armor,Character's Tribe,25
Blackclad,"Aegis, Artificer, Camouflage, Disease Resistance, Dominating Presence, Immunity: Cold, Immunity: Corrosion, Immunity: Electricity, Immunity: Fire, Iron Will, Language, Light Cavalry, Long-Lived, Mount Attack (Skirovik mountain goat), Natural Leader, Pathfinder, Stone Scavenger, Stonecutter, Trained Rider (Skirovik mountain goat)","Bribery 4D, Command 4D, Cryptography 4D, Deception 4D, Disguise 3D, General Skills 4D, Interrogation 4D, Search 4D, Healing 3D, Nagivation 4D, Persuasion 4D, Oratory 4D, Research 4D, Rope Use 3D, Sneak 3D, Survival 4D, Craft Wold 4D; Great Weapon 2D, Hand Weapon 2D, Unarmed Combat 2D",,,"Custom Battle Armor, Druid Voulge, Cloak and Robes of a Blackclad",Circle Orboros,0
Bloodtracker,"Acrobatics, Ambush, Dodger, Fast Draw, Fleet Foot, Hunter, Knife Thrower, Pathfinder, Roll with It, Signal Language, Specialization (Fighting Claw), Traceless Path, Weapon Master (Javelin)","Command 3D, Cryptography 1D, Escape Artist 4D, General Skills 4D, Nagivation 3D, Sneak 4D, Survival 4D, Tracking 4D,Any Craft(Tharn equipment) 3D; Hand Weapon 4D, Throwing 4D, Unarmed Combat 3D",,,"Bloodtracker fighting claw, 5 javelins, javelin quiver, Tharn leathers",Character's Tribe,0
Bloodweaver,"Anatomical Precision, Blood Spiller, Blood Trade, Empower Weapon, Gang, Haruspex, Inflict Pain, Shadow Magic, Two-Weapon Fighting","General Skills 4D, Healing 3D, Sneak 4D, Survival 3D,Any Craft(Tharn equipment) 3D; Hand Weapon 4D, Unarmed Combat 3D",,,"Sacral blade, Tharn leathers",Character's Tribe,0
Bokor,"Death Mastery, Empower Weapon, Ghost Sight, Grave Man, Great Power, Haruspex, Possession, Soul Taker, Spirit Guide, Unhallowed","Alchemy 2D, Command 3D, Cryptography 3D, Deception 4D, General Skills 4D, Interrogation 4D, Healing 2D, Nagivation 3D, Oratory 2D, Sneak 3D, Survival 3D; Great Weapon 3D, Unarmed Combat 3D",,,None,Character's Tribe,50
Bone Grinder,"Anatomical Precision, Bone Grinder, Brew Master, Disease Resistance, Inflict Pain, Meat Alchemy, Vivisectionist","Alchemy 4D, General Skills 4D, Search 2D, Healing 4D, Nagivation 2D, Rope Use 3D, Survival 3D, Tracking 3D, Skinner 4D; Great Weapon 3D, Hand Weapon 3D",,,"Apothecary Kit, Skinning Tools, and any one bone grinder fetish",None,25
Bounty Hunter,"Binding, Crossbowman, Head-Butt, Language (Five Cant), Pursuit, Roll With It, Take Down, Waylay","Bribery 2D, Deception 2D, Disguise 2D, General Skills 4D, Interrogation 2D, Law 2D, Persuasion 4D, Rope Use 4D, Sneak 3D, Streetwise 4D, Tracking 4D; Crossbow 3D, Hand Weapon 2D, Pistol 2D, Rifle 3D, Unarmed Combat 4D",,,None,None,75
Brigand (Swamp Gobber Raider),"Ambush, Appraise, Backstab, Binding, Camouflage, Dodger, Fall Back, Fast Draw, Fast Reload, Find Cover, Fleet Foot, Gunfighter, Onslaught, Relentless Charge, Specialization (Grappling Pistol), Waylay","Bribery 4D, Command 2D, Deception 4D, Disguise 3D, Escape Artist 4D, General Skills 4D, Lock Picking 3D, Nagivation 2D, Persuasion 3D, Pick Pocket 3D, Rope Use 3D, Sneak 4D, Streetwise 2D, Survival 2D, Any Craft 2D; Archery 3D, Crossbow 3D, Great Weapon 4D, Hand Weapon 4D, Pistol 3D, Rifle 3D, Throwing 3D, Unarmed Combat 3D",,,Grappling Pistol or Swamp Gobbers Bellows with 5 canisters of bellows gas,"Choose One: Criminal Gang, Character's Tribe",25
Brigand,"Ambush, Appraise, Backstab, Binding, Camouflage, Dodger, Fall Back, Fast Draw, Fast Reload, Find Cover, Fleet Foot, Gunfighter, Onslaught, Relentless Charge, Waylay","Bribery 4D, Command 2D, Deception 4D, Disguise 3D, Escape Artist 4D, General Skills 4D, Lock Picking 3D, Nagivation 2D, Persuasion 3D, Pick Pocket 3D, Rope Use 3D, Sneak 4D, Streetwise 2D, Survival 2D, Any Craft 2D; Archery 3D, Crossbow 3D, Great Weapon 4D, Hand Weapon 4D, Pistol 3D, Rifle 3D, Throwing 3D, Unarmed Combat 3D",,,None,Character's Tribe,75
Bushwhacker,"Ambush, Crackshot, Dual Shot (Rifle), Fast Draw, Fast Reload, Go to Ground, Keen Eyed, Marksman, Night Fighter, Return Fire, Shootist, Sniper, Swift Hunter, Targeteer","Command 2D, General Skills 4D, Nagivation 3D, Sneak 4D, Survival 3D, Gunsmithing 3D; Hand Weapon 3D, Rifle 4D",,,"Ammo Bandolier, Heavy Rifle or Repeating Rifle, Powder and Ammunition for 10 shots",None,50
Chieftain,"Battle Commander, Battle Plan: Battlefield Coordination, Battle Plan: Call to Action, Battle Plan: Coordinated Strike, Battle Plan: Take Cover, Cavalry Charge, Combat Rider, Defender, Expert Rider, Language, Natural Leader, Rallying Cry, Team Leader","Command 4D, Deception 4D, General Skills 4D, Search 4D, Nagivation 4D, Persuasion 4D, Oratory 4D, Seduction 3D, Sneak 2D, Survival 3D; Archery 4D, Great Weapon 4D, Hand Weapon 4D, Throwing 4D, Unarmed Combat 4D",,,"Symbol of Office (Iron Crown, Wolf Skin Cloak, etc…)",Character's Tribe,100
Croak Conjoined Twin,"Conjoined, Empower Weapon, Great Power, Haruspex, Powerful Attack (magical), Share the Load","General Skills 4D, Survival 2D; Hand Weapon 2D, Throwing 2D",,,None,Croak Tribe,75
Crucible Guard,"'Jack Marshall, Cautious Advance, Cavalry Charge, Disease Resistance, Fast Reload, Find Cover, Grenadier, Hit the Deck!, Language, Ride-By Attack, Roll With It, Saddle Shot, Sentry","Command 3D, General Skills 4D, Healing 3D, Nagivation 2D, Sneak 2D, Survival 3D; Crossbow 3D, Great Weapon 4D, Light Artillery 3D, Hand Weapon 3D, Pistol 3D, Rifle 4D, Shield 2D, Throwing 3D, Unarmed Combat 3D",,,"Crucible armor, 250gc worth of grenades, Crucible Arms Model 603",Golden Crucible,0
Cutthroat,"Anatomical Precision, Backstab, Blood Spiller, Camouflage, Chain Attack: Bleed Out, Fast Draw, Language (Five Cant), Prowl, Specialization (Assassin Blade), Two-Weapon Fighting, Waylay","General Skills 4D, Interrogation 2D, Sneak 4D, Streetwise 4D; Crossbow 2D, Hand Weapon 4D, Throwing 3D, Unarmed Combat 3D",,,None,None,75
Dhunian Paragon (Fall),"Battle Plan: Desperate Pace, Defender, Dhunia's Strike, Fearless, Mother's Vengeance, Overflowing Health, Remedy, Roll with It, Self Sacrifice, Shield Guard, Shield Slam, Spring of Vitality, Storm of Leaves, Thick Skin, Winter's Respite","Command 4D, General Skills 4D, Interrogation 2D, Healing 2D, Persuasion 2D, Oratory 4D, Seduction 2D, Survival 4D; Great Weapon 3D, Hand Weapon 3D, Shield 3D, Unarmed Combat 4D",,,None,Character's Tribe,75
Dhunian Paragon (Spring),"Battle Plan: Desperate Pace, Defender, Dhunia's Strike, Fearless, Mother's Vengeance, Overflowing Health, Remedy, Roll with It, Self Sacrifice, Shield Guard, Shield Slam, Spring of Vitality, Storm of Leaves, Thick Skin, Winter's Respite","Command 4D, General Skills 4D, Interrogation 2D, Healing 2D, Persuasion 2D, Oratory 4D, Seduction 2D, Survival 4D; Great Weapon 3D, Hand Weapon 3D, Shield 3D, Unarmed Combat 4D",,,None,Character's Tribe,75
Dhunian Paragon (Summer),"Battle Plan: Desperate Pace, Defender, Dhunia's Strike, Fearless, Mother's Vengeance, Overflowing Health, Remedy, Roll with It, Self Sacrifice, Shield Guard, Shield Slam, Spring of Vitality, Storm of Leaves, Thick Skin, Winter's Respite","Command 4D, General Skills 4D, Interrogation 2D, Healing 2D, Persuasion 2D, Oratory 4D, Seduction 2D, Survival 4D; Great Weapon 3D, Hand Weapon 3D, Shield 3D, Unarmed Combat 4D",,,None,Character's Tribe,75
Dhunian Paragon (Winter),"Battle Plan: Desperate Pace, Defender, Dhunia's Strike, Fearless, Mother's Vengeance, Overflowing Health, Remedy, Roll with It, Self Sacrifice, Shield Guard, Shield Slam, Spring of Vitality, Storm of Leaves, Thick Skin, Winter's Respite","Command 4D, General Skills 4D, Interrogation 2D, Healing 2D, Persuasion 2D, Oratory 4D, Seduction 2D, Survival 4D; Great Weapon 3D, Hand Weapon 3D, Shield 3D, Unarmed Combat 4D",,,None,Character's Tribe,75
Doom Reaver,"Abomination, Berserk, Bloodlust, Fearless, Feasome Howl, Iron Will, Language (Orgoth), Precision Strike, Relentless Charge, Silence","General Skills 4D, Survival 3D, Tracking 3D; Great Weapon 4D, Unarmed Combat 3D","Cutthroat, Horseman, Pirate, Ranger, Soldier, Thief",,Fellblade,None,0
Duelist,"Acrobatics, Fast Draw, Gunfighter, Parry, Precision Strike, Quick Work, Riposte, Roll With It, Two-Weapon Fighting","Etiquette 2D, General Skills 4D, Law 2D, Oratory 2D, Seduction 3D, Streetwise 2D; Hand Weapon 4D, Pistol 4D, Throwing 3D, Unarmed Combat 2D",,,None,None,75
Exemplar,"Aegis, Chain Attack: Smite, Divine Fortitude, Imperishable Conviction, Iron Will, Load Bearing, Precision Strike, Relentless Advance, Restoration, Sanguine Bond, two-Weapon Fighting","Command 4D, General Skills 4D, Healing 2D, Nagivation 2D, Survival 2D; Crossbow 3D, Great Weapon 4D, Hand Weapon 4D, Lance 4D, Shield 3D, Unarmed Combat 3D","Man-at-Arms, Military Officer, Ranger, Soldier, Warcaster, Warcaster (Protectorate)",,"Exemplar plate and one weapon: Blazing sword, halberd (consecrated) , or relic blade.",Exemplar Order,0
Explorer,"Battle Plan: Reconnaissance, Big Game Hunter, Diseases Resistance, Expert Rider, Language, Natural Leader, Poison Resistance, Port of Call, Signal Language, Swift Rider","Command 4D, Any Craft 2D, Cryptography 2D, Etiquette 2D, General Skills 4D, Healing 2D, Nagivation 4D, Persuasion 4D, Rope Use 4D, Survival 4D; Archery 2D, Crossbow 2D, Hand Weapon 2D, Pistol 2D, Rifle 3D, Throwing 2D, Unarmed Combat 2D",,,"map case, spyglass",Patron,150
Fell Caller,"Battle Plan: Call to Action, Fell Call: Cacophony, Fell Call: Call of Defiance, Fell Call: Ground Shaker, Fell Call: Heroic Ballad, Fell Call: Reverberation, Fell Call: Signal Call, Fell Call: Sonic Blast, Legacy of Bragg, Natural Leader","Command 4D, Fell Calling 4D, General Skills 4D, Oratory 4D, Seduction 2D; Great Weapon 3D, Hand Weapon 3D, Throwing 3D, Unarmed Combat 3D",,,None,None,75
Fennblade,"Cleave, Dual Fighter, Hard, Iron Will, Load Bearing, Precision Strike, Relentless Advance, Relentless Charge, Set Defense, Snag & Slash, Specialization (Hooked Great Sword)","Command 3D, General Skills 4D, Survival 3D; Great Weapon 4D, Unarmed Combat 3D",,,Hooked Great Sword,Trollkin Kriel,75
Field Mechanik (Rhulic),"'Jack Marshall, Ace Commander, Bodge, Dodger, Drive: Ancillary Attack, Drive: Assault, Drive: Off Road, Drive: Pronto, Hit the Deck!, Iron Sentinel, Scrounge, Steamo, Tune Up","Command 3D, Any Craft 4D, General Skills 4D, Mechanikal Engineering 4D, Persuasion 3D; Hand Weapon 2D, Pistol 2D",,,"mechanik's tool kit, Grundback Runner light warjack (p. 66) with either a Grundback light cannon (p. 66) or a hail shot cannon (p. 67) weapon system instead of a light laborjack with up to 200 gc of weapons",None,25
Field Mechanik,"'Jack Marshall, Ace Commander, Bodge, Dodger, Drive: Ancillary Attack, Drive: Assault, Drive: Off Road, Drive: Pronto, Hit the Deck!, Iron Sentinel, Scrounge, Steamo, Tune Up","Command 3D, Any Craft 4D, General Skills 4D, Mechanikal Engineering 4D, Persuasion 3D; Hand Weapon 2D, Pistol 2D",,,"mechanik's tool kit, light laborjack with up to 200 gc of weapons",None,25
Guide,"Advance Move, Applied Knowledge, Battle Plan: Double Time, Dodger, Forager, Language, Mark Target, Survivalist, Traceless Path, Tracker","Command 3D, General Skills 4D, Healing 2D, Nagivation 4D, Persuasion 3D, Survival 4D, Tracking 4D; Archery 3D, Great Weapon 2D, Hand Weapon 3D, Pistol 3D, Rifle 3D, Throwing 3D, Unarmed Combat 2D",,,None,Character's Tribe,75
Gun Mage (Amethyst Rose),"Arcane Precision, Craft Rune Shot, Fast Draw, Fast Reload, Gunfighter, Keen Eyed","General Skills 4D, Seduction 2D; Pistol 4D, Rifle 4D",,,"ammo bandolier, dual magelock pistol (with powder and 10 rounds of ammunition), rune shot casting kit",Loyal Order of the Amethyst Rose,25
Gun Mage (Arcane Tempest),"Arcane Precision, Craft Rune Shot, Fast Draw, Fast Reload, Gunfighter, Keen Eyed, Runesmith","General Skills 4D, Seduction 2D; Pistol 4D, Rifle 4D","Gun Mage (Arcane Tempest), Aristocrat, Horseman, Military Officer, Pistoleer, Ranger, Rifleman, Soldier, Spy, Warcaster, Warcaster (Cygnaran)",,"Armored great coat, ammo bandolier, magelock pistol or magelock rifle (with powder and 10 rounds of ammunition), rune shot casting kit",Cygnaran military,25
Gun Mage,"Arcane Precision, Craft Rune Shot, Fast Draw, Fast Reload, Gunfighter, Keen Eyed","General Skills 4D, Seduction 2D; Pistol 4D, Rifle 4D",,,"ammo bandolier, magelock pistol or magelock rifle (with powder and 10 rounds of ammunition), rune shot casting kit",None,25
Guttersnipe,"Astute, Camouflage, Disease Resistance, Dodger, Find Cover, Flash Theif, Hit 'em Low, Language, Lost in the Crowd, Low Breeding, Perfect Timing, Roll With It, Scoping It Out","Persuasion [Bribery] 4D, Deception 4D, Disguise 4D, Escape Artist 4D, General Skills 4D, Persuasion 4D, Pick Pocket 4D, Sneak 4D, Streetwise 4D; Hand Weapon 3D, Pistol 3D, Sling 3D, Throwing 3D, Unarmed 3D",,,None,Black Market,50
Highwayman,"Ambush, Appraise, Binding, Expert Rider, Fast Draw, Fast Reload, Light Cavalry, Prowl, Ride-By Attack, Saddle Shot, Swift Hunter, Swift Rider, Traceless Path, Two-Weapon Fighting, Waylay","Bribery 2D, Deception 3D, Disguise 2D, General Skills 4D, Interrogation 2D, Persuasion 4D, Rope Use 4D, Seduction 4D, Sneak 4D, Survival 2D; Archery 3D, Crossbow 3D, Hand Weapon 3D, Pistol 3D, Unarmed Combat 3D",,,"mask, riding horse, tack",None,75
Horseman,"Cavalry Charge, Combat Rider, Expert Rider, Mounted: Counter Charge, Ride-by Attack, Saddle Shot, Swift Rider, Trained Rider (any)","Command 3D, General Skills 4D, Nagivation 3D; Great Weapon 4D, Hand Weapon 2D, Lance 4D, Pistol 2D, Unarmed Combat 2D",,,Warhorse with tack and heavy barding,None,25
Huntsman,"Big Game Hunter, Camouflage, Cautious Advance, Crossbowman, Dual Shot (archery), Dual Shot (rifle), Harry, Hunter, Hunting Ground, Keen Eyed, Knife Thrower, Prey","General Skills 4D, Nagivation 2D, Sneak 2D, Survival 4D, Tracking 4D,Any Craft(Fletcher) 2D, Gunsmithing 2D, Skinner 2D; Archery 4D, Crossbow 4D, Hand Weapon 3D, Pistol 3D, Rifle 4D, Throwing 4D",,,None,None,100
Investigator,"Anatomical Precision, Astute, Iron Will, Language, Prowl, Signal Language, Truth Reader","Cryptography 4D, Deception 4D, Etiquette 2D, Forensics 4D, General Skills 4D, Interrogation 4D, Law 4D, Healing 2D, Persuasion 3D, Research 4D, Sneak 4D, Streetwise 4D; Hand Weapon 2D, Pistol 2D, Unarmed Combat 2D",,,None,None,100
Iron Fang,"Defensive Line, Fast Arm (Blasting Pike), Hyper Awareness, Load Bearing, Precision Strike, Relentless Charge, Rock Solid, Specialization (Blasting Pike), Swift Rider","Command 4D, General Skills 4D, Survival 2D; Great Weapon 4D, Lance 4D, Shield 4D, Unarmed Combat 3D","Aristocrat, Military Officer, Soldier, Warcaster, Warcaster (Khadoran), Horseman",,"blasting pike (with a spear head and 10 blasting heads), Iron Fang full plate, shield",Khadoran Military,25
Knight,"Cavalry Charge, Cleave, Combat Rider, Defender, Defensive Line, Expert Rider, Iron Will, Load Bearing, Natural Leader, Precision Strike, Press the Attack, Relentless Charge, Ride-By Attack, Shield Slam","Command 4D, Etiquette 2D, General Skills 4D, Law 2D; Great Weapon 4D, Hand Weapon 4D, Lance 4D, Shield 4D, Unarmed Combat 3D",,,None,Knightly Order,100
Kriel Champion,"Bodyguard, Defensive Line, Iron Will, Load Bearing, Natural Leader, Overtake, Relentless Charge, Retaliatory Strike, Rock Solid, Shield Guard, Shield Slam, Two-Weapon Fighting","Command 3D, General Skills 4D, Oratory 2D, Survival 3D, Metalworking 3D; Great Weapon 4D, Hand Weapon 4D, Shield 3D, Throwing 3D, Unarmed Combat 4D",,,None,Character's Tribe,100
Labor Korune,"Jack Marshall, Battle Plan: Call to Action, Brawler, Drive: Pronto, Gang, Heave-Ho, Iron Will, Language, Low Breeding, Natural Leader, Rallying Cry","Bribery 3D, Command 4D,Any Craft4D, Deception 2D, Etiquette 2D, General Skills 4D, Mechanikal Engineering 2D, Healing 2D, Persuasion 4D, Streetwise 4D; Unarmed Combat 4D, Pistol 2D",,,None,Worker's Union,75
Long Rider,"Bull Rush, Cavalry Charge, Combat Rider, Expert Rider, Follow Up, Line Breaker, Load Bearing, Mounted: Counter Charge, Ride-by-Attack","General Skills 4D, Comman4D, Survival 3D; Great Weapon 4D, Hand Weapon 3D, Shield 4D, Unarmed Combat 3D",,,"Bison, Tack and Harness",None,75
Mage Hunter,"Arcane Assassin, Camouflage, Crackshot, Crossbowman, Fast Draw, Fast Reload, Iron Will, Mage Killer, Parry, Quick Work, Shadow Magic, Traceless Path","Deception 2D, Disguise 2D, General Skills 4D, Rope Use 3D, Sneak 4D, Survival 2D, Tracking 4D; Archery 4D, Crossbow 4D, Hand Weapon 4D, Throwing 2D",,,None,Retribution of Scyrah,75
Man-O-War,"Cleave, Defensive Line, Girded, Head-Butt, Ironhead, Load Bearing, Man of Iron, Shield Slam, Steady, Steam Jockey","Command 3D, General Skills 4D, Mechanikal Engineering 2D; Great Weapon 4D, Light Artillary 4D, Shield 3D, Unarmed Combat 3D","Aristocrat, Field Mechanik, Horseman, Man-at-Arms, Military Officer, Soldier",,"Man-O-War armour, and one of the following options; Annihilation blade and Man-O-War shield cannon (power & ten shots); Bombardier grenade cannon, Man-O-War ammo bandalier, four cannon grenades; Ice Maul",Khadoran Military,0
Man-at-Arms,"Bodyguard, Cleave, Defensive Line, Girded, Iron Will, Load Bearing, Retaliatory Strike, Set Defense, Shield Guard, Shield Slam, Specialization (Halberd), Specialization (Spear)","Command 3D, Metalworking 2D, General Skills 4D; Great Weapon 4D, Hand Weapon 3D, Pistol 3D, Shield 4D, Unarmed Combat 3D",,,None,None,100
Military Officer,"'Jack Marshall, Ace Commander, Battle Commander, Battle Plan: Call to Action, Battle Plan: Coordinated Strike, Battle Plan: Desperate Pace, Battle Plan: Go to Ground, Cavalry Charge, Defender, Drive: Assault, Drive: Pronto, Expert Rider, Good Breeding, Natural Leader, Port of Call, Ride-By Attack, Saddle Shot, Signal Language, Team Leader","Command 4D, Cryptography 4D, Etiquette 4D, General Skills 4D, Interrogation 4D, Law 4D, Healing 4D, Nagivation 4D, Oratory 4D; Great Weapon 4D, Hand Weapon 4D, Pistol 4D",,,officer's uniform,None,100
Mist Speaker,"Advisor, Backstab, Conniver, Dodger, Sucker!","Bribery 4D, Command 3D, Deception 4D, Escape Artist 3D, General Skills 4D, Interrogation 3D, Search 3D, Persuasion 4D, Oratory 3D, Seduction 2D, Sneak 3D, Survival 3D, Any Craft 2D; Great Weapon 3D, Hand Weapon 3D, Unarmed Combat 3D",,,None,Character's Tribe,50
Monster Hunter,"Anatomical Precision, Big Game Hunter, Binding, Camouflage, Deadly Skill, Dismember, Exterminator, Hunting Ground, Pathfinder, Poison Resistance, Precision Strike, Skilled Trapper, Staredown, Survivalist","Escape Artist 3D, General Skills 4D, Search 2D, Nagivation 3D, Persuasion 3D, Research 3D, Rope Use 3D, Sneak 4D, Survival 4D, Tracking 4D, Skinner 4D; Archery 4D, Crossbow 4D, Great Weapon 3D, Hand Weapon 4D, Pistol 3D, Rifle 4D, Throwing 3D, Unarmed Combat 4D",,,None,None,100
Paladin (Order of the Wall),"Fearless, Iron Will, Load Bearing, Impervious Wall Stance, Natural Leader, Precision Strike, Retaliatory Strike, Specialization (Firebrand), Stone-and-Mortar Stance","Command 1D, Etiquette 2D, General Skills 4D; Great Weapon 4D, Hand Weapon 4D, Shield 4D, Unarmed Combat 4D","Aristocrat, Horseman, Investigator, Man-at-Arms, Military Officer, Priest (Menoth), Ranger, Soldier, Warcaster, Warcaster (Protectorate)",,"Firebrand, Full plate, and Shield",Order of the Wall,0
Pirate,"Binding, Disease Resistance, Gang, Gunfighter, Head-Butt, Language, Port of Call, Quick Work, Specialization (Cutlass), Steady, Sucker!, Waylay","Command 2D, Deception 3D, General Skills 4D, Nagivation 4D, Persuasion 2D, Rope Use 4D, Sailing 4D; Hand Weapon 3D, Light Artillery 2D, Pistol 3D, Rifle 2D, Throwing 3D, Unarmed Combat 3D",,,None,None,75
Pistoleer,"Chain Attack: Pin Down, Dodger, Fast Draw, Fast Reload, Gunfighter, Return Fire, Swift Hunter, Targeteer, Two-Weapon Fighting","Gunsmithing 4D, General Skills 4D, Sneak 3D; Pistol 4D",,,"ammo bandolier, either a hand cannon (with 10 ammo) or a pair of 2x pistol (repeating) (each with 1 ammo wheel and 10 ammo)",None,50
Priest (Cyriss),"Blaster, Bodge, Choir, Clockwork Transcendence, Enigma Cipher, Inscribe Formulae, Language, Vessel Upgrade","Alchemy 3D, Command 3D,Any Craft(any) 4D, Cryptography 4D, General Skills 4D, Mechanikal Engineering 4D, Research 4D; Hand Weapon 3D",,,"Optifex armor, Tuning Kit",Convergence of Cyriss,0
Priest (Menoth),"Choir, Dispel, Language, Natural Leader, Rallying Cry, University Education","Command 2D, Cryptography 2D, Etiquette 4D, General Skills 4D, Law 4D, Healing 4D, Persuasion 4D, Oratory 4D, Research 4D; Great Weapon 3D, Hand Weapon 3D, Shield 2D",,,None,Menite Temple,75
Priest (Morrow),"Choir, Empower, Language, Natural Leader, Rallying Cry, University Education","Command 2D, Cryptography 2D, Etiquette 4D, General Skills 4D, Law 4D, Healing 4D, Persuasion 4D, Oratory 4D, Research 4D; Great Weapon 3D, Hand Weapon 3D, Shield 2D",,,None,Morrowan Church,75
